LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
 AL,"Baldwin County, Alabama",Baldwin County, Alabama,0500000US01003,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439,53962,2.8,1.9,6.2,10,9.2,76892,97364,38
 AL,"Calhoun County, Alabama",Calhoun County, Alabama,0500000US01015,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156,28975,7.1,2,7,10.9,3.4,61918,75168,38.7
 AL,"Cullman County, Alabama",Cullman County, Alabama,0500000US01043,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906,23212,3,1.4,6.7,9.6,3.4,60886,72582,42.7
 AL,"DeKalb County, Alabama",DeKalb County, Alabama,0500000US01049,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208,16366,4,2.5,12.1,7.7,0.7,54871,66524,36.7
 AL,"Elmore County, Alabama",Elmore County, Alabama,0500000US01051,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854,21146,1.6,1.1,7.7,10.2,7.8,76574,96212,32.8
 AL,"Etowah County, Alabama",Etowah County, Alabama,0500000US01055,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447,25177,4.8,4.6,10.8,11.2,3.3,53690,71632,45.1
 AL,"Houston County, Alabama",Houston County, Alabama,0500000US01069,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103,25893,5,3.8,11,9.9,6.5,62034,84280,44.4
 AL,"Jefferson County, Alabama",Jefferson County, Alabama,0500000US01073,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944,164678,5.4,2.8,5.8,9,9.2,70617,96989,44.6
 AL,"Lauderdale County, Alabama",Lauderdale County, Alabama,0500000US01077,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632,23883,4.3,2.2,9.2,9.7,3.8,65564,77519,43
 AL,"Lee County, Alabama",Lee County, Alabama,0500000US01081,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712,37809,3.6,1.3,7.8,5.6,9.2,80982,103361,31.4
 AL,"Limestone County, Alabama",Limestone County, Alabama,0500000US01083,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695,23919,2.4,3.1,6.4,9.6,6.8,76124,95741,31.9
 AL,"Madison County, Alabama",Madison County, Alabama,0500000US01089,155878,5.2,4.4,8.9,8.8,11.7,14.5,12.4,17.5,9.2,7.3,67930,102575,3.6,1.7,6.8,7.1,10.3,84935,105800,27.3
 AL,"Marshall County, Alabama",Marshall County, Alabama,0500000US01095,35330,8,4.6,12.6,8.1,16.9,21.2,12,9.8,3.6,3.2,49467,25078,3.5,1.9,9.5,7.3,4.1,58967,75280,43.4
 AL,"Mobile County, Alabama",Mobile County, Alabama,0500000US01097,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639,97398,4.7,2.5,8.4,8.3,4.1,61182,77069,36.1
 AL,"Montgomery County, Alabama",Montgomery County, Alabama,0500000US01101,88864,8.1,3.6,9.2,10.1,15.7,20.2,11.1,13.3,4.5,4.3,53117,53155,5.1,1.1,7.5,8.3,6.5,67719,89075,35.3
 AL,"Morgan County, Alabama",Morgan County, Alabama,0500000US01103,46470,6.8,5.3,9.4,11,12.8,19.6,12.1,13.9,4.9,4.2,54338,31752,4.5,3.7,6.2,9.4,4.8,62540,81251,32.7
 AL,"St. Clair County, Alabama",St. Clair County, Alabama,0500000US01115,32829,3.9,2.9,7.8,8.7,12.6,20.2,13.8,22.3,4,3.9,67487,25409,1.6,0.3,5.9,8.1,4.4,77256,86685,33.8
 AL,"Shelby County, Alabama",Shelby County, Alabama,0500000US01117,84048,3.9,2.8,7.4,6.8,10.8,17.9,13.4,19.7,8,9.2,75614,57918,1.1,1.1,3,4.9,12.6,98094,122326,33.1
 AL,"Talladega County, Alabama",Talladega County, Alabama,0500000US01121,30602,9.7,6.8,13.5,12.2,7.7,16.4,13.5,14.3,3.6,2.4,50147,20515,5.6,3.6,10.4,11.7,3.5,65280,73808,41.9
 AL,"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,0500000US01125,74259,9,5,10.6,11,12.6,17.6,8.4,15.1,5.5,5.3,52243,47711,4.6,3,5.6,13,7.4,70367,89749,47
 AL,"Walker County, Alabama",Walker County, Alabama,0500000US01127,25153,7.4,5.3,14.4,10.9,15,16.3,12,13.7,3.3,1.9,46283,17410,3.8,2.1,10.6,12,2.1,59855,71227,52.1
AK,"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,0500000US02020,105198,3.8,2.7,4.6,6.6,10.1,17.6,13.1,20.4,10.8,10.2,82716,64798,1.6,2,2.1,4.9,14.7,104660,131599,32
AK,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,0500000US02090,35556,2.8,1.9,7.7,5.7,11.5,21.5,11.1,16,9.4,12.4,72065,23996,0.8,1.1,2.6,4.9,15.7,87974,121808,22.7
AK,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough, Alaska,0500000US02170,32736,4.5,2.9,7.7,6.9,9.6,18.7,14.6,18,8.7,8.4,74709,23763,2.5,2.2,4.8,5.7,8.3,85283,102861,36.5
AZ,"Apache County, Arizona",Apache County, Arizona,0500000US04001,20925,22.3,6.6,13.6,12.3,12.3,14.5,6.2,9.9,1.4,0.7,30480,12251,15.3,3.1,13.5,11.8,0.9,41162,51141,60.2
AZ,"Cochise County, Arizona",Cochise County, Arizona,0500000US04003,51982,7.8,4.5,9.9,11,18.5,15.6,10.7,14.3,4.9,2.8,48484,32464,4.6,1.5,6.2,13,3.7,57991,76919,29.8
AZ,"Coconino County, Arizona",Coconino County, Arizona,0500000US04005,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085,29293,3.6,1.5,4,5.5,8.4,76601,101106,34
AZ,"Maricopa County, Arizona",Maricopa County, Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,1056695,3.2,1.7,5,5.8,10.7,80792,106887,38.1
AZ,"Mohave County, Arizona",Mohave County, Arizona,0500000US04015,91095,4.9,4.9,12.1,11.2,16.6,22.5,12.6,9.8,2.7,2.5,50179,61122,3.2,2.1,9.2,9.5,2.9,56751,72041,35.5
AZ,"Navajo County, Arizona",Navajo County, Arizona,0500000US04017,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897,28532,8.7,2.4,9.4,17.8,2.1,45764,61031,42
AZ,"Pima County, Arizona",Pima County, Arizona,0500000US04019,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169,247333,4.4,2.4,6.1,8,6.8,72920,93564,36.7
AZ,"Pinal County, Arizona",Pinal County, Arizona,0500000US04021,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,110212,2.8,1.7,4.7,7.8,3.8,70976,83303,41.5
AZ,"Yavapai County, Arizona",Yavapai County, Arizona,0500000US04025,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816,62990,3.7,2,6.4,7.8,6.9,68513,86140,32.5
AZ,"Yuma County, Arizona",Yuma County, Arizona,0500000US04027,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419,53639,10.6,3.8,9,10.1,1.8,51480,62744,44.2
AK,"Benton County, Arkansas",Benton County, Arkansas,0500000US05007,100749,4.4,3.4,6.9,7.7,11.2,19.4,15,16,6.2,9.7,69130,72399,3.1,1.9,4.7,6.5,12.4,81726,111172,31.9
AK,"Craighead County, Arkansas",Craighead County, Arkansas,0500000US05031,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610,27829,3.1,3.9,10,12.6,4.3,63994,80053,37.2
AK,"Faulkner County, Arkansas",Faulkner County, Arkansas,0500000US05045,47389,8.7,3.2,10.9,9.1,12.2,20.3,15.1,13.1,3.1,4.4,57642,31590,4,2.1,9.7,5.7,5.9,70514,88425,18.9
AK,"Garland County, Arkansas",Garland County, Arkansas,0500000US05051,41743,8.3,8,11.5,10.1,16.7,19.7,10.3,8.3,4.6,2.6,45265,26006,4.8,4.7,6.2,12,3.7,54414,73033,41.5
AK,"Jefferson County, Arkansas",Jefferson County, Arkansas,0500000US05069,27593,11.4,12.3,10.8,9.3,17.5,14.9,10.5,8,2,3.2,39326,16356,7,8.1,11.6,6.2,4.4,51052,63851,50.7
AK,"Lonoke County, Arkansas",Lonoke County, Arkansas,0500000US05085,26052,6.9,3.6,7.6,6.9,13.8,19.1,15.2,16.2,7,3.6,62532,18824,2,2.8,5.4,6.9,3.7,75967,85992,32
AK,"Pulaski County, Arkansas",Pulaski County, Arkansas,0500000US05119,158000,6.9,5.9,9.4,10.8,15,19.2,9.7,13.3,5.1,4.8,52043,93080,4.6,2.9,7,9.9,7,67765,96424,42.6
AK,"Saline County, Arkansas",Saline County, Arkansas,0500000US05125,45455,3.2,6,7.6,7.8,12.4,20.5,12.9,19.6,7,3.1,66327,31395,2.1,3.5,3.1,9,4.3,78096,87778,38.1
AK,"Sebastian County, Arkansas",Sebastian County, Arkansas,0500000US05131,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839,32517,3.2,2.6,8.8,9.7,4.4,56569,77716,46.6
AK,"Washington County, Arkansas",Washington County, Arkansas,0500000US05143,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,56596,2.7,1.4,6.4,10.9,8.5,67310,90814,25.9
AK,"White County, Arkansas",White County, Arkansas,0500000US05145,28621,6.6,6.3,16.8,12,12.2,19.3,9.9,11.4,3.2,2.2,43399,18028,4.9,4.9,11.6,9.6,3.3,54744,73938,34.1
CA,"Alameda County, California",Alameda County, California,0500000US06001,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,381906,2.2,1.3,3,3.7,27.4,130556,164374,31.7
CA,"Butte County, California",Butte County, California,0500000US06007,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,48238,3.6,3.8,5.8,8.5,11.6,76497,112179,41.4
CA,"Contra Costa County, California",Contra Costa County, California,0500000US06013,399792,3.3,2.8,4,4.8,6.9,12.2,12.5,18.9,12.2,22.4,107135,283816,1.9,1.8,2.3,3.6,27,125976,165292,35.8
CA,"El Dorado County, California",El Dorado County, California,0500000US06017,74216,4.4,4.6,5.7,6.1,8.8,13.6,12,20,10.4,14.3,87059,50614,2.2,1.7,3.8,4.8,18.4,107034,139869,39.8
CA,"Fresno County, California",Fresno County, California,0500000US06019,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518,226172,5.5,3.5,9.2,9.8,6.8,65568,84683,44.4
CA,"Humboldt County, California",Humboldt County, California,0500000US06023,55692,7.6,11.7,7.1,8.2,14.2,15.3,11.5,12.7,5.5,6.2,51662,29816,6.2,5,4.4,6.1,8.9,71718,100222,45.5
CA,"Imperial County, California",Imperial County, California,0500000US06025,48182,6.8,10.4,11.5,9,14.6,14.6,12.9,12.4,4.7,3,48472,36308,5.6,5.1,11.9,10,3.8,57467,71174,45.9
CA,"Kern County, California",Kern County, California,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,199179,4.4,3.8,10,10.4,6.4,61124,83430,29.8
CA,"Kings County, California",Kings County, California,0500000US06031,44761,4.6,2.5,11.3,11.1,13.5,22.1,12.7,12,6.5,3.6,58453,33989,5.6,1.7,9.2,9.4,4.2,61133,75534,52.2
CA,"Lake County, California",Lake County, California,0500000US06033,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138,14708,6,3.4,7.3,8.1,5.5,62253,84808,38.1
CA,"Los Angeles County, California",Los Angeles County, California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,2204715,3.4,2.2,6.5,7.2,13.4,81912,116114,40.7
CA,"Madera County, California",Madera County, California,0500000US06039,44387,6,1.7,7.3,14.1,11.5,16.1,14.1,18.4,5.8,4.9,64827,36621,3.4,2.9,6.3,14.8,5.4,67877,87591,38.6
CA,"Marin County, California",Marin County, California,0500000US06041,105298,3.4,2.5,4.5,4.7,8.8,10.6,11,16,10,28.6,110843,64572,1.4,0.8,1.7,3.7,37.2,151376,223426,37.5
CA,"Mendocino County, California",Mendocino County, California,0500000US06045,34478,3.8,7.8,11.8,9.3,15.1,18.6,10.5,14.3,4.6,4.1,51744,18776,2.2,3,6.4,6.2,5.5,64485,87159,32.5
CA,"Merced County, California",Merced County, California,0500000US06047,80645,3.4,4.5,9.5,8.8,14.9,20,13.6,14,5.9,5.4,61167,63662,3.4,2.7,8.7,7.9,5.9,65725,84684,45.9
CA,"Monterey County, California",Monterey County, California,0500000US06053,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514,92883,4,1.7,5.6,7.4,11.7,81037,105836,35.4
CA,"Napa County, California",Napa County, California,0500000US06055,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769,31603,2,1.1,1.5,2.4,21,107419,145490,32.6
CA,"Nevada County, California",Nevada County, California,0500000US06057,39365,3.5,1.6,9.6,11.1,14.7,13.5,13.6,13.5,6.8,12.2,68818,25565,1.9,1.1,6.1,6,13.8,88540,112469,33.7
CA,"Orange County, California",Orange County, California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,747163,2.4,1.3,3.9,5,20.1,107171,140730,43.8
CA,"Placer County, California",Placer County, California,0500000US06061,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723,105590,1,1,3.8,4.4,20.7,118132,144230,27.2
CA,"Riverside County, California",Riverside County, California,0500000US06065,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,542505,3.2,2,5.6,5.9,9.9,81921,104527,43.7
CA,"Sacramento County, California",Sacramento County, California,0500000US06067,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,361011,2.3,2.1,5.9,7.2,10.8,82121,105200,33.7
CA,"San Bernardino County, California",San Bernardino County, California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,487955,4.1,2.4,6.1,8.1,7,74969,91953,39.4
CA,"San Diego County, California",San Diego County, California,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,763224,2.4,1.7,4.3,5.7,16.4,96164,126563,37.2
CA,"San Francisco County, California",San Francisco County, California,0500000US06075,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,167865,1.9,2,4.1,3.4,34.6,140707,195102,37.1
CA,"San Joaquin County, California",San Joaquin County, California,0500000US06077,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,171826,3.2,1.8,7.7,7.2,8.8,76424,100767,39
CA,"San Luis Obispo County, California",San Luis Obispo County, California,0500000US06079,106512,4.3,3.3,7.2,7.5,11.9,14.4,13.6,19,9.8,9.2,77265,67359,2.9,0.7,4.1,4,12.3,98277,117296,38
CA,"San Mateo County, California",San Mateo County, California,0500000US06081,265003,2.3,1.9,4.1,3.5,6.4,10.2,8.7,16.9,12.7,33.3,138500,180884,1.1,0.6,2.2,3.1,38.6,158898,220970,32.9
CA,"Santa Barbara County, California",Santa Barbara County, California,0500000US06083,146466,5.3,2.9,6.4,5.6,12.7,16.8,12.5,17,7.3,13.6,75653,92089,2.2,1,5.1,5.1,16.2,90020,128375,33.7
CA,"Santa Clara County, California",Santa Clara County, California,0500000US06085,643637,2.5,2.3,3.6,4.3,5.9,10.8,9.4,16.5,13.2,31.6,133076,452203,1.3,0.8,2.7,3.4,36.8,151620,203414,32
CA,"Santa Cruz County, California",Santa Cruz County, California,0500000US06087,97710,3,3.4,7.2,6.4,9.8,12.1,12.2,18.2,10.4,17.3,89269,61206,1.5,1.1,5.7,4.8,21.6,107298,143577,37.6
CA,"Shasta County, California",Shasta County, California,0500000US06089,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091,45286,2.5,1.3,8.1,5.4,7.7,80765,99660,42.1
CA,"Solano County, California",Solano County, California,0500000US06095,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105464,3.3,0.9,3.7,4.8,11.9,97754,117057,39.4
CA,"Sonoma County, California",Sonoma County, California,0500000US06097,190689,2.9,2.7,4.2,6.5,9.3,16.1,15.6,18.8,10.7,13.3,87828,122317,1.1,1,2.4,5.2,16.8,101449,134368,32.5
CA,"Stanislaus County, California",Stanislaus County, California,0500000US06099,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037,129341,4.7,2.1,5.8,9.3,6.4,71339,87518,42
CA,"Sutter County, California",Sutter County, California,0500000US06101,33039,3.5,5.2,8.2,9.8,12.4,18.6,11.7,14.2,9.5,6.9,62777,23328,2.7,3,6.2,9.5,8.1,73964,98914,38.3
CA,"Tehama County, California",Tehama County, California,0500000US06103,25310,9.4,4,13.1,9.3,13.3,14.4,12.1,11.4,9.8,3.3,53475,17392,6.1,2.4,11.4,10.7,4.8,71428,84003,27.3
CA,"Tulare County, California",Tulare County, California,0500000US06107,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692,114157,5,2.9,7.7,10.4,3.7,60190,77798,55.1
CA,"Ventura County, California",Ventura County, California,0500000US06111,268524,3,2.1,5,5.4,9.3,13.8,15.1,20.4,11.9,14,92236,193638,1.8,0.8,3.7,5.3,16.7,103818,134464,38.5
CA,"Yolo County, California",Yolo County, California,0500000US06113,76075,7.2,5,5.7,6.6,8.7,18.9,10.4,16.7,9.4,11.3,71417,47858,2.6,2.9,4.7,5.9,15.3,95890,128396,30.6
CA,"Yuba County, California",Yuba County, California,0500000US06115,26827,10.4,4.1,6.5,7.9,12.7,21.1,11.4,14.6,5.9,5.5,58765,18947,5.6,1.9,4.9,9.1,6.2,65843,81513,29
CO,"Adams County, Colorado",Adams County, Colorado,0500000US08001,171977,3.6,2.7,6.1,6.8,11.8,18.4,16.2,18.4,9.4,6.6,75804,119506,3.5,2.2,4,5.3,7.7,85129,101750,42.2
CO,"Arapahoe County, Colorado",Arapahoe County, Colorado,0500000US08005,246302,3.8,1.9,4.2,5.7,11.2,19,13.5,19.3,10.2,11.2,82710,160274,1.8,0.8,2.4,4.2,14.8,101925,128743,32.3
CO,"Boulder County, Colorado",Boulder County, Colorado,0500000US08013,131854,5.8,2.6,5.8,5,9,14.7,13.7,17,10.5,15.9,88535,74958,2.5,0.8,2.9,3,21.7,112791,158078,38.2
CO,"Broomfield County, Colorado",Broomfield County, Colorado,0500000US08014,28062,1.8,1,2.1,3.8,7.5,13.8,14.8,19.8,16.6,18.9,111400,18753,0.9,0,0.9,1.5,23.7,136125,156286,25.7
CO,"Denver County, Colorado",Denver County, Colorado,0500000US08031,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,150538,2.6,2.8,5,5,17.7,98247,135179,36
CO,"Douglas County, Colorado",Douglas County, Colorado,0500000US08035,127476,1.7,0.8,2.4,4.4,4.7,10.9,13.1,24.4,16.5,21.1,122867,98624,0.5,0.7,0.8,2.5,25,137073,169464,25.3
CO,"El Paso County, Colorado",El Paso County, Colorado,0500000US08041,265798,4.4,2.8,6.3,7.3,11.5,19.6,14.7,17.4,8.5,7.6,72830,182032,2.4,1.2,4.4,5,9.6,86411,107829,34.2
CO,"Jefferson County, Colorado",Jefferson County, Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,154711,2,1.1,2.6,3.5,17.9,111123,135150,29.4
CO,"Larimer County, Colorado",Larimer County, Colorado,0500000US08069,146638,5,3.2,7.3,6,10.2,18,14.3,16.8,9.6,9.5,75186,89168,1.9,1,3.6,3.5,14.1,100135,123931,29.6
CO,"Mesa County, Colorado",Mesa County, Colorado,0500000US08077,63644,5.7,4.2,7.7,8.1,15.2,21.6,12.5,15,5,4.9,60500,42122,1.9,2.1,4,7.3,6.9,75143,92966,30.3
CO,"Pueblo County, Colorado",Pueblo County, Colorado,0500000US08101,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276,42573,4,4.4,7.3,9.8,3.4,61720,76698,44.3
CO,"Weld County, Colorado",Weld County, Colorado,0500000US08123,111298,3.5,2.9,7,6.4,9.8,17.5,14.3,22.4,9.3,6.8,78615,81935,1.6,1.6,4.4,4.6,8,92214,107915,32.3
CT,"Fairfield County, Connecticut",Fairfield County, Connecticut,0500000US09001,340557,4.2,3.3,6.2,4.8,8.6,13.4,10.3,15.7,10.8,22.8,97053,235576,2.3,2,4.4,3.6,29.1,122271,190461,37.9
CT,"Hartford County, Connecticut",Hartford County, Connecticut,0500000US09003,353234,6.5,3.7,7,7,9.9,15.7,12.9,17.7,9.4,10.3,75381,219085,3.1,2.2,4.5,4.3,14.6,98558,125773,39.2
CT,"Litchfield County, Connecticut",Litchfield County, Connecticut,0500000US09005,73969,2.9,3.4,5.7,7,10.1,17.2,12.8,17.9,11.3,11.6,81195,49009,0.8,1.7,3.2,5.1,14.8,101334,133858,41
CT,"Middlesex County, Connecticut",Middlesex County, Connecticut,0500000US09007,66884,5.5,2.8,7.8,7.5,9.6,16.2,11.1,17.5,11.1,11,76518,41794,2.2,1.3,3,6,15.4,105242,124544,29.7
CT,"New Haven County, Connecticut",New Haven County, Connecticut,0500000US09009,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,202259,3.5,2,6.2,6.7,13.1,89234,115330,41.5
CT,"New London County, Connecticut",New London County, Connecticut,0500000US09011,109752,3.9,2.3,6.8,7.7,11.8,17.3,14.3,18.3,8,9.7,75633,70104,1.7,1.1,3.3,6.9,13.3,95350,115915,33.4
CT,"Tolland County, Connecticut",Tolland County, Connecticut,0500000US09013,56749,5.3,2.2,4.7,6.5,8.4,13.7,12.1,22,10.9,14.1,91028,37620,2,0.3,3.3,2.5,19.9,115453,147801,31.7
CT,"Windham County, Connecticut",Windham County, Connecticut,0500000US09015,47015,6.8,3.8,8,9.5,13.5,15.1,15.3,15.3,6.8,5.9,62106,30464,2.7,1.3,3.4,9.8,8,80815,96503,38
DE,"Kent County, Delaware",Kent County, Delaware,0500000US10001,68023,6,6.2,7.5,7.8,15.6,19.9,12.6,15.7,6.5,2.1,58001,44880,2.8,4.2,6.1,6.9,2.6,69439,82945,34.4
DE,"New Castle County, Delaware",New Castle County, Delaware,0500000US10003,211592,5.7,2.6,6.3,6.3,9.8,18.4,13.9,17.5,9.6,9.8,76328,132203,2.8,1.5,3.6,4.6,13.8,95536,121467,45.9
DE,"Sussex County, Delaware",Sussex County, Delaware,0500000US10005,96624,4.4,4,8.3,8.8,13.9,16.9,13.7,16.9,7.4,5.7,65155,65501,2.3,1.7,5.8,6.4,7.3,82694,101930,38.2
DC,"District of Columbia, District of Columbia",District of Columbia, District of Columbia,0500000US11001,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,124978,5.3,1.7,3.1,4,30.7,130291,175610,34.1
FL,"Alachua County, Florida",Alachua County, Florida,0500000US12001,103024,11.1,4.3,11.3,9.6,14.3,15.3,10.4,13.6,4.1,6.1,49534,52586,2.8,1,7.3,6.8,10,80588,102990,28.5
FL,"Bay County, Florida",Bay County, Florida,0500000US12005,69195,6.6,2.8,7.1,7.8,14.4,22.6,15.7,12.4,6.2,4.2,59450,46333,3.2,1.5,6,5.5,5.6,70253,87169,34.8
FL,"Brevard County, Florida",Brevard County, Florida,0500000US12009,230043,4.2,3.7,9,10.1,16.3,18.6,12.8,13.7,6.4,5.4,57305,137134,1.7,1.9,5,7.4,7.8,74025,95625,37.8
FL,"Broward County, Florida",Broward County, Florida,0500000US12011,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,444716,3.4,2.6,6.2,8.1,10.8,73848,103847,38
FL,"Charlotte County, Florida",Charlotte County, Florida,0500000US12015,76589,5.2,3.7,13.2,10,14.8,17.5,12.6,13.8,4.8,4.4,54652,48134,3.3,1.9,6.6,8.3,6,68349,90591,33.5
FL,"Citrus County, Florida",Citrus County, Florida,0500000US12017,64448,8.1,5,11.8,11.8,12.4,20.8,12,10.3,4.2,3.4,50751,42075,4.7,2.7,8,10.7,4.8,61680,77865,36.5
FL,"Clay County, Florida",Clay County, Florida,0500000US12019,75793,3.2,1.7,6.3,6,11.8,19.1,17,19.6,9.4,5.9,76687,59703,2.3,0.6,4.2,5.4,7.3,85175,99797,42.7
FL,"Collier County, Florida",Collier County, Florida,0500000US12021,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,97279,2,2.7,3.4,7.5,15.3,88736,137780,36.8
FL,"Columbia County, Florida",Columbia County, Florida,0500000US12023,25240,7.1,4.7,15,10.5,15.4,18.4,9.2,12.3,4.8,2.6,47094,15851,4.9,3.1,10.5,8.2,3.8,58953,76985,42.7
FL,"Duval County, Florida",Duval County, Florida,0500000US12031,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415,221195,4.5,2.2,6.4,8.1,7.6,69956,92347,42.2
FL,"Escambia County, Florida",Escambia County, Florida,0500000US12033,120618,6.5,4.5,10.7,10.1,15,18.9,11.9,13.9,4.2,4.2,53136,73232,3.1,3.2,7.9,9.1,5.7,66018,87468,35.4
FL,"Flagler County, Florida",Flagler County, Florida,0500000US12035,44464,3.7,2.9,11.6,10,14.3,19,11.8,15.2,6.8,4.8,60204,31016,3,3.1,10.3,7.4,5.8,67146,87503,50.5
FL,"Hernando County, Florida",Hernando County, Florida,0500000US12053,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,52863,4.3,1.3,6.2,10.3,2.8,60506,72229,35.1
FL,"Highlands County, Florida",Highlands County, Florida,0500000US12055,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698,27043,6,1.6,6.5,7,2.5,57168,73911,40.1
FL,"Hillsborough County, Florida",Hillsborough County, Florida,0500000US12057,541584,7,3.4,7.9,9.3,12.9,19.3,12.2,14.7,5.5,7.7,61154,332328,4.1,2.2,5.3,7.7,10.4,74380,100757,36.9
